"actor_id","name"
1,"Patton Oswalt"
2,"Sylvain Sylvain"
3,"Carlos Alazraqui"
4,"Wayne Allwine"
5,"Tony Anselmo"
6,"Arman Darbo"
7,"Sawyer Barth"
8,"Bill Farmer"
9,"Jason Marsden"
10,"Jeff Bennett"
11,"Fayssal Bazzi"
12,"James Corden"
13,"Clotilde Hesme"
14,"Louis Garrel"
15,"Ludivine Sagnier"
16,"Ian Wright"
17,"Katja Riemann"
18,"Maximilian Simonischek"
19,"Stefan Kurt"
20,"Abby Ryder Fortson"
21,"Alex Roe"
22,"Jessica Rothe"
23,"Tom Segura"
24,"Hollie Shay"
25,"Kyle Kupecky"
26,"Vincent Seidle"
27,"Agnieszka Suchora"
28,"Dawid Ogrodnik"
29,"Tomasz Zietek"
30,"Christian Slater"
31,"Vanessa Williams"
32,"Bel Powley"
33,"Brad Dourif"
34,"Liv Tyler"
35,"Jakob Davies"
36,"Nicolas Cage"
37,"Sarah Lind"
38,"Anastasia Phillips"
39,"Bruce Gray"
40,"Michelle McLeod"
41,"Huyen Nguyen"
42,"Ian Adamson"
43,"Rebecca Rusch"
44,"Cary Elwes"
45,"Christa B. Allen"
46,"D.B. Sweeney"
47,"Scottie Thompson"
48,"Elisabet Ingels"
49,"Nikki Hahn"
50,"Sabrina Carpenter"
51,"Sofia Carson"
52,"Ava Cooper"
53,"Rosamund Pike"
54,"Scott Shepherd"
55,"Dylan O'Brien"
56,"Kaya Scodelario"
57,"Ki Hong Lee"
58,"Gerard Butler"
59,"Pablo Schreiber"
60,"Dong-Gun Jang"
61,"Jong-Suk Lee"
62,"Myung-Min Kim"
63,"David Krumholtz"
64,"Jenna Fischer"
65,"John C. Reilly"
66,"Jamie Lee Curtis"
67,"Lindsay Lohan"
68,"Belén Rueda"
69,"Eduard Fernández"
70,"Al Pacino"
71,"Kathy Baker"
72,"Kenneth Maharaj"
73,"Christoph Bach"
74,"Florentín Groll"
75,"Stephanie Cumming"
76,"Kenji Mizuhashi"
77,"Yoshimi Kondou"
78,"Agnès Varda"
79,"Jeannine Carpentier"
80,"JR"
81,"Meryl Streep"
82,"Sarah Paulson"
83,"Tom Hanks"
84,"Anna Ishii"
85,"Tsunaki Fukushima"
86,"Yoshiyoshi Arakawa"
87,"Manami Higa"
88,"Suzu Hirose"
89,"Tôma Ikuta"
90,"Ekaterina Samsonov"
91,"Joaquin Phoenix"
92,"Judith Roberts"
93,"Heather Graham"
94,"Rose McIver"
95,"Wyatt Nash"
96,"Alice Cooper"
97,"Ben Daniels"
98,"Sara Bareilles"
99,"Alex Macqueen"
100,"Emma Greenwell"
101,"Tom Hughes"
102,"Annette Bening"
103,"Maury Chaykin"
104,"Michael Gambon"
105,"Brittney Powell"
106,"Tom Konkle"
107,"Vernon Wells"
108,"Edie Falco"
109,"Jay Duplass"
110,"Kaitlyn Dever"
111,"Dan Bailey"
112,"Rich Froning"
113,"Kirsten Dunst"
114,"Orlando Bloom"
115,"Susan Sarandon"
116,"Anne Hathaway"
117,"Christopher Gorham"
118,"Joe Folau"
119,"Corey Furlan"
120,"Don Garber"
121,"Wendell N. Butler"
122,"Chris Hemsworth"
123,"Michael Shannon"
124,"Liam Neeson"
125,"Vera Farmiga"
126,"Arnold Reyes"
127,"John Arcilla"
128,"Mary Joy Apostol"
129,"Angela Bettis"
130,"Anna Faris"
131,"Jeremy Sisto"
132,"Carson Block"
133,"Dan David"
134,"Matthew Wiechert"
135,"Daniel Hendler"
136,"Leonardo Sbaraglia"
137,"Dave Castro"
138,"Justin Bergh"
139,"Colman Domingo"
140,"Elvire Emanuelle"
141,"Yahya Abdul-Mateen II"
142,"Takumi Saitoh"
143,"Ambyr Childers"
144,"Keegan Allen"
145,"Isabelle Huppert"
146,"Jean-Louis Trintignant"
147,"Mathieu Kassovitz"
148,"Hiroshi Abe"
149,"Satomi Kobayashi"
150,"Yôko Maki"
151,"Hana Sugisaki"
152,"Ryônosuke Kamiki"
153,"Ariel Winter"
154,"Burt Reynolds"
155,"Clark Duke"
156,"David Lynch"
157,"Harry Dean Stanton"
158,"Ron Livingston"
159,"Daniel Day-Lewis"
160,"Lesley Manville"
161,"Vicky Krieps"
162,"Idris Elba"
163,"Jessica Chastain"
164,"Kevin Costner"
165,"Kôji Yakusho"
166,"Masaharu Fukuyama"
167,"Shinnosuke Mitsushima"
168,"August Diehl"
169,"Bernadette Heerwagen"
170,"Daniel Brühl"
171,"Nao Ohmori"
172,"Shinya Tsukamoto"
173,"Tadanobu Asano"
174,"Anupam Kher"
175,"Deepti Naval"
176,"Sacha Dhawan"
177,"Anthony Anderson"
178,"John Hawkes"
179,"Octavia Spencer"
180,"Greg Timmermans"
181,"Koen De Bouw"
182,"Werner De Smedt"
183,"Miu Arai"
184,"Rena Tanaka"
185,"Tadanobu Asano"
186,"Masami Nagasawa"
187,"Ryôhei Matsuda"
188,"Sly & Robbie"
189,"Christopher Plummer"
190,"Mark Wahlberg"
191,"Michelle Williams"
192,"Andy Lau"
193,"Donnie Yen"
194,"Madison Wolfe"
195,"Zoe Saldana"
196,"Chanté Adams"
197,"Mahershala Ali"
198,"Nia Long"
199,"Annette Bening"
200,"Jamie Bell"
201,"Kenneth Cranham"
202,"Dakota Fanning"
203,"Diane Lane"
204,"Elizabeth Banks"
205,"Bruce Dern"
206,"Jeffrey Donovan"
207,"Samantha Mathis"
208,"Junko Abe"
209,"Miyuki Matsuda"
210,"Nijirô Murakami"
211,"Jake Weber"
212,"Lily Rabe"
213,"LisaGay Hamilton"
214,"Noah Bean"
215,"Paul Ben-Victor"
216,"Rachel Boston"
217,"Hugh Jackman"
218,"Aunjanue Ellis"
219,"Bill Cobbs"
220,"Joaquim de Almeida"
221,"Adam Ahlbrandt"
222,"Matthew Mourgides"
223,"Zak Bagans"
224,"Damon Albarn"
225,"Julie Adams"
226,"Bendix Hansen"
227,"Louis Hofmann"
228,"Sarah Fuhrer"
229,"Julianne Moore"
230,"Oakes Fegley"
231,"Shannon Beeby"
232,"William Genovese"
233,"Bill Krohn"
234,"Harold Michelson"
235,"Lillian Michelson"
236,"Bob Constanduros"
237,"Aaron Kwok"
238,"Li Gong"
239,"Makoto Furukawa"
240,"Wataru Hatano"
241,"Jianbin Chen"
242,"Joan Chen"
243,"Liping Lü"
244,"Jesse Eisenberg"
245,"Penélope Cruz"
246,"Woody Allen"
247,"Denis Lavant"
248,"Kang-sheng Lee"
