"actor_id","movie_id","role"
1,7026230,"actor"
2,436629,"actor"
3,300195,"actor"
4,300195,"actor"
4,329374,"actor"
5,329374,"actor"
6,2018111,"actor"
7,2018111,"actor"
8,208185,"actor"
9,208185,"actor"
10,208185,"actor"
11,5117670,"actor"
12,5117670,"actor"
13,996605,"actor"
14,996605,"actor"
15,996605,"actor"
16,7614404,"actor"
17,2057931,"actor"
18,2057931,"actor"
19,2057931,"actor"
20,4103724,"actor"
21,4103724,"actor"
22,4103724,"actor"
23,7379330,"actor"
24,2522908,"actor"
25,2522908,"actor"
26,2522908,"actor"
27,7133554,"actor"
28,7133554,"actor"
29,7133554,"actor"
30,7167602,"actor"
31,7167602,"actor"
32,5085924,"actor"
33,5085924,"actor"
34,5085924,"actor"
35,6143568,"actor"
36,6143568,"actor"
37,6143568,"actor"
38,5030452,"actor"
39,5030452,"actor"
40,5030452,"actor"
41,6900092,"actor"
42,6900092,"actor"
43,6900092,"actor"
44,6543420,"actor"
45,5903088,"actor"
46,5903088,"actor"
47,5903088,"actor"
48,7630164,"actor"
49,4456850,"actor"
50,4456850,"actor"
51,4456850,"actor"
52,5478478,"actor"
53,5478478,"actor"
54,5478478,"actor"
55,4500922,"actor"
56,4500922,"actor"
57,4500922,"actor"
58,1259528,"actor"
59,1259528,"actor"
60,6413410,"actor"
61,6413410,"actor"
62,6413410,"actor"
63,841046,"actor"
64,841046,"actor"
65,841046,"actor"
66,322330,"actor"
67,322330,"actor"
68,6101820,"actor"
69,6101820,"actor"
70,2388986,"actor"
71,2388986,"actor"
72,2388986,"actor"
73,2636806,"actor"
74,2636806,"actor"
75,2636806,"actor"
76,983213,"actor"
77,983213,"actor"
78,5598102,"actor"
79,5598102,"actor"
80,5598102,"actor"
81,6294822,"actor"
82,6294822,"actor"
83,6294822,"actor"
84,6738046,"actor"
85,6738046,"actor"
86,6738046,"actor"
87,6190198,"actor"
88,6190198,"actor"
89,6190198,"actor"
90,5742374,"actor"
91,5742374,"actor"
92,5742374,"actor"
93,3496892,"actor"
94,3496892,"actor"
95,3496892,"actor"
96,6874964,"actor"
97,6874964,"actor"
98,6874964,"actor"
99,2989350,"actor"
100,2989350,"actor"
101,2989350,"actor"
102,340012,"actor"
103,340012,"actor"
104,340012,"actor"
105,2243900,"actor"
106,2243900,"actor"
107,2243900,"actor"
108,7260048,"actor"
109,7260048,"actor"
110,7260048,"actor"
111,5079382,"actor"
112,5079382,"actor"
113,368709,"actor"
114,368709,"actor"
115,368709,"actor"
116,250371,"actor"
117,250371,"actor"
118,250371,"actor"
119,2317088,"actor"
120,2317088,"actor"
121,2317088,"actor"
122,1413492,"actor"
123,1413492,"actor"
124,1590193,"actor"
125,1590193,"actor"
126,6135042,"actor"
127,6135042,"actor"
128,6135042,"actor"
129,303361,"actor"
130,303361,"actor"
131,303361,"actor"
132,7215388,"actor"
133,7215388,"actor"
134,7215388,"actor"
135,6522634,"actor"
136,6522634,"actor"
137,8144778,"actor"
138,8144778,"actor"
139,6061074,"actor"
140,6061074,"actor"
141,6061074,"actor"
142,5678110,"actor"
143,5039242,"actor"
144,5039242,"actor"
145,5304464,"actor"
146,5304464,"actor"
147,5304464,"actor"
148,5294966,"actor"
149,5294966,"actor"
150,5294966,"actor"
151,6336356,"actor"
152,6336356,"actor"
153,5836316,"actor"
154,5836316,"actor"
155,5836316,"actor"
156,5859238,"actor"
157,5859238,"actor"
158,5859238,"actor"
159,5776858,"actor"
160,5776858,"actor"
161,5776858,"actor"
162,4209788,"actor"
163,4209788,"actor"
164,4209788,"actor"
165,6410564,"actor"
166,6410564,"actor"
167,6410564,"actor"
168,1545985,"actor"
169,1545985,"actor"
170,1545985,"actor"
171,296042,"actor"
172,296042,"actor"
173,296042,"actor"
174,5757738,"actor"
175,5757738,"actor"
176,5757738,"actor"
177,5751998,"actor"
178,5751998,"actor"
179,5751998,"actor"
180,1727497,"actor"
181,1727497,"actor"
182,1727497,"actor"
183,5797164,"actor"
184,5797164,"actor"
185,5797164,"actor"
186,5999530,"actor"
187,5999530,"actor"
188,6903636,"actor"
189,5294550,"actor"
190,5294550,"actor"
191,1485796,"actor"
191,5208216,"actor"
191,5294550,"actor"
192,6015328,"actor"
193,6015328,"actor"
194,4547194,"actor"
195,4547194,"actor"
196,5796838,"actor"
197,5796838,"actor"
198,5796838,"actor"
199,5711148,"actor"
200,5711148,"actor"
201,5711148,"actor"
202,1706598,"actor"
203,1706598,"actor"
204,1706598,"actor"
205,419491,"actor"
206,419491,"actor"
207,419491,"actor"
208,3230162,"actor"
209,3230162,"actor"
210,3230162,"actor"
211,2009432,"actor"
212,2009432,"actor"
213,2009432,"actor"
214,2141623,"actor"
215,2141623,"actor"
216,2141623,"actor"
217,1485796,"actor"
218,3057572,"actor"
219,3057572,"actor"
220,3057572,"actor"
221,4130484,"actor"
222,4130484,"actor"
223,4130484,"actor"
224,3986978,"actor"
225,3986978,"actor"
226,4932154,"actor"
227,4932154,"actor"
228,4932154,"actor"
229,5208216,"actor"
230,5208216,"actor"
231,3568002,"actor"
232,3568002,"actor"
233,4683668,"actor"
234,4683668,"actor"
235,4683668,"actor"
236,7017474,"actor"
237,4591310,"actor"
238,4591310,"actor"
239,6548966,"actor"
240,6548966,"actor"
241,1103963,"actor"
242,1103963,"actor"
243,1103963,"actor"
244,1859650,"actor"
245,1859650,"actor"
246,1859650,"actor"
247,3521442,"actor"
248,3521442,"actor"
