"language_id","language_name"
1,"English"
2,"French"
3,"Spanish"
4,"Japanese"
5,"German"
6,"Portuguese"
7,"Korean"
8,"Italian"
9,"Russian"
10,"Cantonese"
11,"Mandarin"
12,"Danish"
13,"Thai"
14,"Dutch"
15,"Swedish"
16,"Hebrew"
17,"Polish"
18,"Finnish"
19,"Arabic"
20,"Hungarian"
21,"Norwegian"
22,"Greek"
23,"Persian"
24,"Turkish"
25,"Bengali"
26,"Icelandic"
27,"Romanian"
28,"Ukrainian"
29,"Lithuanian"
30,"Czech"
31,"Serbian"
32,"Malayalam"
33,"Slovak"
34,"Tagalog"
35,"Vietnamese"
36,"Telugu"
37,"Basque"
38,"Latvian"
39,"Estonian"
40,"Albanian"
41,"Bulgarian"
42,"Slovenian"
43,"Kannada"
44,"Assamese"
45,"Marathi"
46,"Urdu"
47,"Malay"
48,"Punjabi"
49,"Gujarati"
50,"Oriya"
51,"Tamil"
52,"Afrikaans"
53,"Xhosa"
54,"Zulu"
55,"Sotho"
56,"Swahili"
57,"Hindi"
58,"Sinhalese"
59,"Khmer"
60,"Tibetan"
61,"Nepali"
62,"Burmese"
63,"Georgian"
64,"Mongolian"
65,"Lao"
66,"Kirghiz"
67,"Kurdish"
68,"Tatar"
69,"Kazakh"
70,"Azerbaijani"
71,"Uzbek"
72,"Tswana"
73,"Bislama"
