"movie_id","genre_id"
208185,5
208185,6
208185,7
208185,11
250371,4
250371,10
250371,18
296042,6
296042,9
296042,10
296042,16
296042,22
300195,4
300195,5
300195,6
300195,7
300195,8
303361,9
303361,10
322330,3
322330,6
322330,7
322330,8
322330,23
329374,5
329374,6
329374,7
329374,8
329374,9
340012,6
340012,10
340012,23
368709,6
368709,10
368709,23
419491,10
419491,11
436629,2
436629,3
841046,3
841046,6
983213,5
983213,10
983213,23
996605,1
1103963,10
1259528,10
1259528,14
1259528,16
1259528,17
1259528,22
1413492,10
1413492,13
1413492,19
1413492,22
1485796,10
1485796,18
1485796,20
1485796,23
1537196,2
1545985,10
1545985,21
1590193,10
1590193,14
1590193,16
1590193,17
1590193,22
1706598,10
1706598,14
1706598,16
1706598,17
1727497,10
1727497,14
1727497,16
1727497,22
1859650,6
1859650,23
2009432,10
2018111,10
2057931,10
2141623,10
2141623,23
2243900,4
2243900,14
2243900,16
2243900,17
2243900,22
2317088,2
2317088,11
2317088,18
2349677,2
2349677,10
2349677,12
2388986,10
2388986,18
2522908,7
2636806,2
2989350,10
2989350,18
2989350,23
3057572,3
3057572,10
3230162,10
3230162,23
3496892,9
3496892,10
3496892,14
3496892,23
3521442,10
3568002,2
3568002,16
3568002,17
3568002,18
3986978,2
4103724,3
4103724,10
4103724,23
4130484,2
4130484,9
4209788,10
4209788,16
4209788,18
4456850,4
4456850,6
4456850,7
4500922,14
4500922,21
4500922,22
4547194,8
4547194,10
4547194,14
4591310,4
4591310,8
4591310,22
4683668,2
4683668,18
4932154,10
5030452,6
5039242,7
5079382,2
5085924,8
5085924,9
5117670,4
5117670,5
5117670,6
5117670,7
5117670,8
5208216,7
5208216,10
5208216,17
5294550,10
5294550,14
5294550,16
5294550,17
5294550,18
5294966,6
5294966,10
5304464,10
5478478,4
5478478,10
5478478,15
5598102,2
5678110,10
5678110,16
5678110,19
5678110,22
5711148,10
5711148,18
5711148,23
5742374,10
5742374,14
5742374,17
5751998,14
5751998,16
5751998,17
5757738,10
5776858,10
5776858,23
5796838,10
5797164,10
5818010,2
5836316,10
5859238,6
5859238,10
5903088,14
5999530,10
5999530,21
6015328,13
6015328,16
6015328,18
6015328,22
6061074,10
6061074,11
6101820,6
6135042,10
6135042,14
6135042,17
6143568,21
6143568,22
6190198,10
6190198,23
6294822,10
6294822,13
6294822,14
6294822,18
6336356,4
6336356,5
6336356,7
6336356,8
6410564,10
6410564,17
6413410,14
6413410,16
6413410,22
6522634,10
6522634,14
6522634,16
6543420,2
6548966,4
6548966,5
6548966,6
6548966,8
6548966,22
6738046,7
6738046,10
6874964,20
6900092,2
6900092,11
6900092,13
6903636,2
7017474,2
7017474,11
7017474,13
7026230,1
7133554,6
7133554,10
7167602,5
7167602,22
7215388,2
7260048,10
7379330,2
7379330,6
7614404,1
7630164,2
8144778,2
